X-ray diffraction station at BSRF	Omega_2omega step mode	Wavelength(nm)=0.13807	2016/10/9 21:11:31
2Omega(degree)	Detector	InoChamber1	InoChamber2
19.56000	1421	74329	0
19.60000	1426	74330	0
19.64000	1447	74326	0
19.68000	1382	74312	0
19.72000	1453	74304	0
19.76000	1404	74303	0
19.80000	1436	74305	0
19.84000	1395	74285	0
19.88000	1405	74290	0
19.92000	1403	74284	0
19.96000	1447	74283	0
20.00000	1425	74263	0
20.04000	1415	74255	0
20.08000	1439	74271	0
20.12000	1406	74254	0
20.16000	1460	74232	0
20.20000	1438	74247	0
20.24000	1416	74288	0
20.28000	1418	74362	0
20.32000	1372	74419	0
20.36000	1418	74475	0
20.40000	1425	74545	0
20.44000	1451	74571	0
20.48000	1455	74562	0
20.52000	1466	74552	0
20.56000	1473	74547	0
20.60000	1338	74535	0
20.64000	1459	74541	0
20.68000	1397	74552	0
20.72000	1365	74552	0
20.76000	1349	74557	0
20.80000	1425	74545	0
20.84000	1337	74540	0
20.88000	1414	74527	0
20.92000	1415	74531	0
20.96000	1395	74527	0
21.00000	1384	74518	0
21.04000	1328	74515	0
21.08000	1424	74501	0
21.12000	1351	74502	0
21.16000	1392	74492	0
21.20000	1375	74531	0
21.24000	1432	74542	0
21.28000	1378	74535	0
21.32000	1354	74528	0
21.36000	1326	74524	0
21.40000	1361	74504	0
21.44000	1413	74498	0
21.48000	1378	74493	0
21.52000	1395	74489	0
21.56000	1417	74492	0
21.60000	1390	74475	0
21.64000	1349	74456	0
21.68000	1346	74466	0
21.72000	1359	74480	0
21.76000	1349	74476	0
21.80000	1379	74467	0
21.84000	1413	74455	0
21.88000	1371	74449	0
21.92000	1358	74437	0
21.96000	1363	74428	0
22.00000	1298	74419	0
22.04000	1441	74427	0
22.08000	1347	74448	0
22.12000	1372	74444	0
22.16000	1348	74444	0
22.20000	1296	74451	0
22.24000	1442	74444	0
22.28000	1371	74439	0
22.32000	1333	74433	0
22.36000	1339	74436	0
22.40000	1364	74427	0
22.44000	1379	74420	0
22.48000	1288	74439	0
22.52000	1399	74441	0
22.56000	1345	74436	0
22.60000	1382	74424	0
22.64000	1425	74433	0
22.68000	1345	74433	0
22.72000	1418	74422	0
22.76000	1413	74416	0
22.80000	1399	74406	0
22.84000	1464	74430	0
22.88000	1612	74429	0
22.92000	1547	74402	0
22.96000	1490	74416	0
23.00000	1495	74425	0
23.04000	1489	74433	0
23.08000	1477	74434	0
23.12000	1384	74429	0
23.16000	1455	74414	0
23.20000	1436	74437	0
23.24000	1328	74462	0
23.28000	1361	74485	0
23.32000	1337	74511	0
23.36000	1348	74558	0
23.40000	1411	74630	0
23.44000	1385	74660	0
23.48000	1386	74712	0
23.52000	1355	74708	0
23.56000	1343	74754	0
23.60000	1337	74808	0
23.64000	1366	74801	0
23.68000	1362	74796	0
23.72000	1366	74789	0
23.76000	1303	74770	0
23.80000	1264	74764	0
23.84000	1332	74765	0
23.88000	1322	74761	0
23.92000	1314	74753	0
23.96000	1294	74739	0
24.00000	1357	74738	0
24.04000	1363	74758	0
24.08000	1315	74751	0
24.12000	1337	74744	0
24.16000	1277	74729	0
24.20000	1342	74714	0
24.24000	1436	74719	0
24.28000	1428	74711	0
24.32000	1345	74705	0
24.36000	1325	74716	0
24.40000	1297	74696	0
24.44000	1321	74701	0
24.48000	1317	74702	0
24.52000	1357	74706	0
24.56000	1332	74694	0
24.60000	1241	74679	0
24.64000	1256	74680	0
24.68000	1312	74672	0
24.72000	1315	74668	0
24.76000	1291	74661	0
24.80000	1331	74666	0
24.84000	1318	74657	0
24.88000	1241	74652	0
24.92000	1411	74651	0
24.96000	1390	74646	0
25.00000	1374	74649	0
25.04000	1426	74641	0
25.08000	1417	74636	0
25.12000	1455	74632	0
25.16000	1466	74623	0
25.20000	1512	74623	0
25.24000	1514	74604	0
25.28000	1564	74615	0
25.32000	1571	74586	0
25.36000	1734	74596	0
25.40000	1832	74592	0
25.44000	1972	74582	0
25.48000	2096	74570	0
25.52000	2443	74559	0
25.56000	2755	74544	0
25.60000	3113	74541	0
25.64000	3385	74544	0
25.68000	3422	74548	0
25.72000	3258	74532	0
25.76000	2901	74538	0
25.80000	2552	74522	0
25.84000	2257	74525	0
25.88000	1962	74502	0
25.92000	1869	74499	0
25.96000	1741	74502	0
26.00000	1646	74502	0
26.04000	1519	74498	0
26.08000	1598	74485	0
26.12000	1464	74472	0
26.16000	1493	74466	0
26.20000	1405	74465	0
26.24000	1338	74463	0
26.28000	1465	74457	0
26.32000	1376	74407	0
26.36000	1330	74378	0
26.40000	1348	74378	0
26.44000	1329	74363	0
26.48000	1329	74368	0
26.52000	1309	74407	0
26.56000	1292	74439	0
26.60000	1208	74452	0
26.64000	1310	74453	0
26.68000	1285	74472	0
26.72000	1268	74498	0
26.76000	1296	74505	0
26.80000	1221	74542	0
26.84000	1285	74619	0
26.88000	1314	74684	0
26.92000	1278	74730	0
26.96000	1284	74716	0
27.00000	1288	74708	0
27.04000	1280	74697	0
27.08000	1236	74697	0
27.12000	1315	74671	0
27.16000	1293	74666	0
27.20000	1247	74665	0
27.24000	1210	74650	0
27.28000	1292	74640	0
27.32000	1207	74629	0
27.36000	1244	74620	0
27.40000	1280	74607	0
27.44000	1255	74595	0
27.48000	1238	74584	0
27.52000	1260	74573	0
27.56000	1288	74561	0
27.60000	1230	74555	0
27.64000	1253	74544	0
27.68000	1229	74539	0
27.72000	1278	74539	0
27.76000	1174	74529	0
27.80000	1206	74528	0
27.84000	1176	74506	0
27.88000	1214	74506	0
27.92000	1241	74503	0
27.96000	1196	74514	0
28.00000	1186	74503	0
28.04000	1187	74500	0
28.08000	1251	74504	0
28.12000	1199	74496	0
28.16000	1219	74491	0
28.20000	1204	74482	0
28.24000	1162	74476	0
28.28000	1214	74473	0
28.32000	1196	74458	0
28.36000	1175	74442	0
28.40000	1214	74446	0
28.44000	1199	74432	0
28.48000	1228	74436	0
28.52000	1275	74434	0
28.56000	1250	74406	0
28.60000	1131	74400	0
28.64000	1178	74404	0
28.68000	1219	74395	0
28.72000	1175	74365	0
28.76000	1205	74369	0
28.80000	1263	74369	0
28.84000	1199	74361	0
28.88000	1236	74400	0
28.92000	1216	74425	0
28.96000	1180	74412	0
29.00000	1174	74400	0
29.04000	1235	74428	0
29.08000	1249	74407	0
29.12000	1247	74399	0
29.16000	1215	74405	0
29.20000	1256	74402	0
29.24000	1186	74407	0
29.28000	1242	74398	0
29.32000	1204	74380	0
29.36000	1192	74376	0
29.40000	1147	74380	0
29.44000	1251	74362	0
29.48000	1190	74349	0
29.52000	1255	74341	0
29.56000	1181	74345	0
29.60000	1199	74344	0
29.64000	1196	74323	0
29.68000	1133	74321	0
29.72000	1178	74311	0
29.76000	1178	74320	0
29.80000	1191	74297	0
29.84000	1172	74298	0
29.88000	1190	74286	0
29.92000	1105	74281	0
29.96000	1237	74279	0
30.00000	1151	74275	0
30.04000	1156	74266	0
30.08000	1241	74253	0
30.12000	1196	74284	0
30.16000	1198	74320	0
30.20000	1212	74351	0
30.24000	1135	74388	0
30.28000	1214	74431	0
30.32000	1135	74443	0
30.36000	1189	74453	0
30.40000	1203	74466	0
30.44000	1158	74492	0
30.48000	1149	74549	0
30.52000	1147	74569	0
30.56000	1190	74570	0
30.60000	1156	74564	0
30.64000	1168	74543	0
30.68000	1159	74535	0
30.72000	1173	74547	0
30.76000	1177	74536	0
30.80000	1170	74530	0
30.84000	1145	74534	0
30.88000	1150	74513	0
30.92000	1247	74514	0
30.96000	1156	74512	0
31.00000	1170	74521	0
31.04000	1166	74506	0
31.08000	1125	74497	0
31.12000	1143	74498	0
31.16000	1098	74478	0
31.20000	1208	74500	0
31.24000	1196	74473	0
31.28000	1153	74471	0
31.32000	1157	74478	0
31.36000	1195	74480	0
31.40000	1175	74480	0
31.44000	1170	74550	0
